t0;300;;Nombre Delta;1546;;Max Delta;3066
alpha;0.6;;Nombre Degradation;35;;Moyenne Exp;0.162951
nbPalier;5;;Nombre Temperature;5;;Moyenne Delta;741
nbEvalMax;6000

Temp;Delta < 0;Delta > 0 && Non;Delta > 0 && Oui
300;257;32;12
180;246;45;9
108;252;37;11
64.8;243;54;3
38.88;287;58;0






numInc;Delta;Temp;exp(-d/T);degradation
0;-6094;300;-1;-1
2;-10510;300;-1;-1
6;-2796;300;-1;-1
7;-274;300;-1;-1
10;-604;300;-1;-1
14;415;300;0.250741;0
17;-1119;300;-1;-1
18;-485;300;-1;-1
27;2060;300;0.00104194;0
30;-3382;300;-1;-1
31;229;300;0.46611;0
34;-2353;300;-1;-1
35;-4827;300;-1;-1
36;-328;300;-1;-1
37;-2076;300;-1;-1
39;82;300;0.760839;1
40;-72;300;-1;-1
43;-1806;300;-1;-1
44;2772;300;9.70776e-05;0
47;-2584;300;-1;-1
48;478;300;0.203247;0
50;-901;300;-1;-1
52;-490;300;-1;-1
53;-34;300;-1;-1
58;2552;300;0.000202116;0
65;3066;300;3.64343e-05;0
66;3066;300;3.64343e-05;0
71;-1302;300;-1;-1
72;-1023;300;-1;-1
74;196;300;0.520309;0
76;-630;300;-1;-1
78;-2137;300;-1;-1
80;1214;300;0.0174805;0
81;1168;300;0.0203773;0
83;1283;300;0.0138889;0
84;1283;300;0.0138889;0
86;-1229;300;-1;-1
90;-6;300;-1;-1
93;728;300;0.0883308;0
95;608;300;0.131774;1
97;1756;300;0.00287032;0
98;-321;300;-1;-1
103;-188;300;-1;-1
105;-306;300;-1;-1
109;-2636;300;-1;-1
110;-120;300;-1;-1
112;-222;300;-1;-1
119;-36;300;-1;-1
121;10;300;0.967216;1
132;-50;300;-1;-1
134;-149;300;-1;-1
137;-144;300;-1;-1
140;2374;300;0.000365833;0
142;-18;300;-1;-1
148;2435;300;0.000298522;0
149;974;300;0.0389037;0
150;-1703;300;-1;-1
152;393;300;0.26982;1
161;-1208;300;-1;-1
163;-645;300;-1;-1
164;174;300;0.559898;1
172;-114;300;-1;-1
173;233;300;0.459937;0
183;585;300;0.142274;0
186;585;300;0.142274;0
188;-524;300;-1;-1
189;138;300;0.631284;1
193;756;300;0.0804596;0
194;756;300;0.0804596;0
198;343;300;0.318755;1
201;-2933;300;-1;-1
204;-1337;300;-1;-1
216;693;300;0.0992613;0
217;38;300;0.881027;1
221;-80;300;-1;-1
224;10;300;0.967216;1
225;2039;300;0.00111749;0
227;238;300;0.452334;0
234;-2195;300;-1;-1
237;3014;300;4.33299e-05;0
245;385;300;0.277112;0
248;1023;300;0.0330412;0
249;-242;300;-1;-1
251;-78;300;-1;-1
252;-348;300;-1;-1
254;237;300;0.453845;0
256;-78;300;-1;-1
257;338;300;0.324112;1
268;-121;300;-1;-1
273;1502;300;0.00669318;0
277;-322;300;-1;-1
284;121;300;0.668089;1
287;-477;300;-1;-1
290;-226;300;-1;-1
291;520;300;0.176694;1
297;322;300;0.341867;0
298;-230;300;-1;-1
304;-840;180;-1;-1
306;-510;180;-1;-1
312;-634;180;-1;-1
317;841;180;0.00935147;0
319;1244;180;0.00099665;0
327;260;180;0.235877;0
334;-406;180;-1;-1
338;78;180;0.648344;1
342;741;180;0.0162988;0
347;1548;180;0.000184106;0
350;-78;180;-1;-1
356;209;180;0.313138;1
357;1591;180;0.000144984;0
359;-48;180;-1;-1
360;336;180;0.154638;0
365;-84;180;-1;-1
367;384;180;0.118442;1
375;-30;180;-1;-1
379;-315;180;-1;-1
386;852;180;0.0087971;0
398;137;180;0.467147;0
401;-892;180;-1;-1
407;1327;180;0.00062847;0
408;-189;180;-1;-1
410;85;180;0.623615;1
413;101;180;0.570575;1
416;-165;180;-1;-1
420;48;180;0.765928;0
428;2188;180;5.25907e-06;0
432;855;180;0.0086517;0
433;544;180;0.0486929;0
434;370;180;0.128022;0
448;309;180;0.179664;0
455;385;180;0.117786;0
463;-62;180;-1;-1
470;-65;180;-1;-1
471;-548;180;-1;-1
472;1786;180;4.9072e-05;0
478;307;180;0.181671;0
479;310;180;0.178669;0
484;1528;180;0.000205742;0
485;23;180;0.880049;1
490;1993;180;1.5538e-05;0
493;514;180;0.0575239;0
495;210;180;0.311403;0
500;2068;180;1.02433e-05;0
502;2851;180;1.32208e-07;0
516;47;180;0.770195;1
517;530;180;0.0526313;0
522;496;180;0.0635737;0
524;255;180;0.242521;0
525;115;180;0.527879;1
526;-115;180;-1;-1
528;523;180;0.0547184;0
529;1387;180;0.000450318;0
531;-158;180;-1;-1
534;570;180;0.0421438;0
535;570;180;0.0421438;0
536;901;180;0.00670062;0
538;394;180;0.112041;1
544;228;180;0.281769;0
546;948;180;0.00516078;0
554;-19;180;-1;-1
559;-284;180;-1;-1
561;788;180;0.0125532;0
564;2526;180;8.04268e-07;0
565;2404;180;1.584e-06;0
567;568;180;0.0426147;0
571;168;180;0.393241;0
578;-301;180;-1;-1
579;1421;180;0.000372809;0
582;1375;180;0.000481363;0
586;-43;180;-1;-1
593;-72;180;-1;-1
596;165;180;0.39985;0
599;232;180;0.275577;0
602;1582;108;4.34901e-07;0
607;230;108;0.118881;0
609;837;108;0.000430743;0
617;307;108;0.0582744;0
619;19;108;0.83868;0
621;295;108;0.0651227;0
623;328;108;0.0479768;0
626;90;108;0.434598;0
633;-11;108;-1;-1
635;11;108;0.903163;1
636;-208;108;-1;-1
647;521;108;0.00803399;0
653;-41;108;-1;-1
656;65;108;0.547796;1
658;55;108;0.600941;0
663;530;108;0.00739163;0
665;-62;108;-1;-1
678;-57;108;-1;-1
685;-77;108;-1;-1
691;490;108;0.0107051;0
697;54;108;0.606531;1
704;-20;108;-1;-1
705;55;108;0.600941;1
714;293;108;0.06634;0
717;41;108;0.684115;0
719;260;108;0.0900485;0
721;328;108;0.0479768;0
724;192;108;0.169013;0
728;41;108;0.684115;1
737;-22;108;-1;-1
742;276;108;0.0776491;0
747;1184;108;1.73319e-05;0
749;19;108;0.83868;0
752;67;108;0.537745;0
777;-11;108;-1;-1
778;20;108;0.83095;0
782;22;108;0.815704;0
784;510;108;0.00889539;0
790;1452;108;1.44928e-06;0
791;-65;108;-1;-1
792;48;108;0.64118;1
795;-80;108;-1;-1
804;62;108;0.563226;0
807;693;108;0.00163409;0
814;52;108;0.617867;1
815;19;108;0.83868;1
818;-37;108;-1;-1
822;1809;108;5.31579e-08;0
823;-19;108;-1;-1
825;177;108;0.194196;0
826;22;108;0.815704;1
830;-37;108;-1;-1
831;1801;108;5.7245e-08;0
834;1695;108;1.52753e-07;0
843;386;108;0.0280414;0
866;789;108;0.000671796;0
867;1779;108;7.01786e-08;0
869;28;108;0.771623;1
871;85;108;0.455192;1
873;-65;108;-1;-1
874;-48;108;-1;-1
875;-39;108;-1;-1
885;110;108;0.36113;0
895;864;108;0.000335463;0
900;1856;64.8;3.63872e-13;0
906;195;64.8;0.0493282;0
907;124;64.8;0.147551;0
912;250;64.8;0.0211097;0
919;420;64.8;0.00153154;0
931;170;64.8;0.0725516;0
933;164;64.8;0.0795902;0
934;420;64.8;0.00153154;0
950;499;64.8;0.000452548;0
955;144;64.8;0.108368;0
962;235;64.8;0.026608;0
963;505;64.8;0.000412527;0
964;505;64.8;0.000412527;0
965;250;64.8;0.0211097;0
967;893;64.8;1.03525e-06;0
970;260;64.8;0.0180909;0
974;250;64.8;0.0211097;0
987;1620;64.8;1.38879e-11;0
991;1119;64.8;3.16503e-08;0
993;155;64.8;0.0914489;0
997;2657;64.8;1.55807e-18;0
998;152;64.8;0.0957821;0
1006;250;64.8;0.0211097;0
1010;370;64.8;0.00331308;0
1011;25;64.8;0.679905;0
1020;290;64.8;0.0113867;0
1023;559;64.8;0.000179283;0
1030;195;64.8;0.0493282;0
1036;235;64.8;0.026608;0
1048;39;64.8;0.547796;1
1054;2831;64.8;1.06273e-19;0
1060;170;64.8;0.0725516;0
1062;864;64.8;1.6196e-06;0
1065;25;64.8;0.679905;1
1067;1695;64.8;4.36498e-12;0
1068;325;64.8;0.00663476;0
1070;-25;64.8;-1;-1
1091;170;64.8;0.0725516;1
1092;2033;64.8;2.36963e-14;0
1095;-170;64.8;-1;-1
1097;493;64.8;0.000496452;0
1103;693;64.8;2.26705e-05;0
1104;2249;64.8;8.45342e-16;0
1105;170;64.8;0.0725516;0
1108;257;64.8;0.0189481;0
1110;560;64.8;0.000176538;0
1122;395;64.8;0.00225258;0
1131;235;64.8;0.026608;0
1138;208;64.8;0.0403616;0
1140;208;64.8;0.0403616;0
1141;1623;64.8;1.32596e-11;0
1146;26;64.8;0.669493;0
1162;292;64.8;0.0110406;0
1164;764;64.8;7.57904e-06;0
1166;1695;64.8;4.36498e-12;0
1169;255;64.8;0.0195421;0
1171;2142;64.8;4.40712e-15;0
1181;2514;64.8;1.41574e-17;0
1183;439;64.8;0.00114232;0
1184;2514;64.8;1.41574e-17;0
1195;-46;64.8;-1;-1
1203;-478;38.88;-1;-1
1207;-36;38.88;-1;-1
1208;1016;38.88;4.4787e-12;0
1227;1016;38.88;4.4787e-12;0
1237;1255;38.88;9.5828e-15;0
1243;1905;38.88;5.25909e-22;0
1245;2096;38.88;3.86738e-24;0
1246;1905;38.88;5.25909e-22;0
1254;612;38.88;1.45842e-07;0
1258;616;38.88;1.31584e-07;0
1261;382;38.88;5.40769e-05;0
1272;871;38.88;1.86561e-10;0
1275;200;38.88;0.00583411;0
1280;871;38.88;1.86561e-10;0
1281;15;38.88;0.679905;0
1289;33;38.88;0.427943;0
1295;913;38.88;6.33396e-11;0
1296;2096;38.88;3.86738e-24;0
1297;419;38.88;2.08794e-05;0
1305;963;38.88;1.75053e-11;0
1307;249;38.88;0.00165439;0
1309;1079;38.88;8.86002e-13;0
1315;107;38.88;0.0637965;0
1323;47;38.88;0.298541;0
1327;216;38.88;0.00386592;0
1330;249;38.88;0.00165439;0
1335;49;38.88;0.283572;0
1336;13;38.88;0.715795;0
1340;419;38.88;2.08794e-05;0
1344;249;38.88;0.00165439;0
1348;840;38.88;4.1409e-10;0
1353;36;38.88;0.396164;0
